id,조사연도,조사시작일자,조사종료일자,한글보통명,학명,경도,위도,개체수,시도명
008000000000014380,2015.0,2015-10-28,2015-10-28,까치,Pica pica,128.06348900000003,36.902489000906556,2.0,충청북도
008000000000012605,2015.0,2015-04-10,2015-04-10,찌르레기,Sturnus cineraceus,128.09683600000002,36.822450000905825,13.0,충청북도
008000000000012606,2015.0,2015-04-10,2015-04-10,방울새,Carduelis sinica,128.09683600000002,36.822450000905825,6.0,충청북도
008000000000012607,2015.0,2015-04-10,2015-04-10,참새,Passer montanus,128.09683600000002,36.822450000905825,10.0,충청북도
008000000000012608,2015.0,2015-04-10,2015-04-10,까치,Pica pica,128.09683600000002,36.822450000905825,3.0,충청북도
008000000000012609,2015.0,2015-04-10,2015-04-10,멧비둘기,Streptopelia orientalis,128.09683600000002,36.822450000905825,2.0,충청북도
008000000000012610,2015.0,2015-04-10,2015-04-10,딱새,Phoenicurus auroreus,128.09683600000002,36.822450000905825,2.0,충청북도
008000000000012611,2015.0,2015-04-10,2015-04-10,박새,Parus major,128.09683600000002,36.822450000905825,4.0,충청북도
008000000000012612,2015.0,2015-04-10,2015-04-10,쇠박새,Parus palustris,128.09443300000004,36.825903000905846,5.0,충청북도
008000000000012613,2015.0,2015-04-10,2015-04-10,진박새,Parus ater,128.09443300000004,36.825903000905846,3.0,충청북도
008000000000012614,2015.0,2015-04-10,2015-04-10,노랑턱멧새,Emberiza elegans,128.09443300000004,36.825903000905846,11.0,충청북도
008000000000012615,2015.0,2015-04-10,2015-04-10,쑥새,Emberiza rustica,128.09441900000002,36.829961000905904,7.0,충청북도
008000000000012616,2015.0,2015-04-10,2015-04-10,멧비둘기,Streptopelia orientalis,128.09441900000002,36.829961000905904,4.0,충청북도
008000000000012617,2015.0,2015-04-10,2015-04-10,직박구리,Microscelis amaurotis,128.09441900000002,36.829961000905904,3.0,충청북도
008000000000012618,2015.0,2015-04-10,2015-04-10,청딱다구리,Picus canus,128.09605600000003,36.83328900090593,1.0,충청북도
008000000000012619,2015.0,2015-04-10,2015-04-10,동고비,Sitta europaea,128.09605600000003,36.83328900090593,2.0,충청북도
008000000000012620,2015.0,2015-04-10,2015-04-10,어치,Garrulus glandarius,128.09605600000003,36.83328900090593,1.0,충청북도
008000000000012621,2015.0,2015-04-10,2015-04-10,직박구리,Microscelis amaurotis,128.09605600000003,36.83328900090593,2.0,충청북도
008000000000012622,2015.0,2015-04-10,2015-04-10,박새,Parus major,128.09605600000003,36.83328900090593,4.0,충청북도
008000000000012623,2015.0,2015-04-10,2015-04-10,멧비둘기,Streptopelia orientalis,128.09605600000003,36.83328900090593,4.0,충청북도
